AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,GV.ToEndPoint,GVQual,AveErr,ErrDeg
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.28690456127867,159.47505393928614,166.51971391947617,158.8334386978208,110.0,110.0,220.0,205.0, -0.016,0,2,50,17.4,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
'50,'0,167.66527777507667,159.80183080574804,166.90273614103566,159.15483250266408,110.0,110.0,220.0,205.0, -0.009,0,0,50,17.3,0,0,0
