AimAng1,AimAang2,Aimx,Aimy,GV.currentx1,GV.currenty1,GV.startx,GV.starty,GV.finishx,GV.finishy,dist,GV.Set_SteerAng,GV.Steerangle,GV.gogo,ToEndPoint,GVQual
'100,'100,613513.661587551,5842711.2137655,613506.701240472,5842712.50007958,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,100,0,0,2.7,4
'100,'100,613513.661587551,5842711.2137655,613506.701240472,5842712.50007958,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,100,0,0,2.7,4
'100,'100,613513.661587551,5842711.2137655,613506.701240472,5842712.50007958,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,100,0,0,2.7,4
'101,'101,613513.691533635,5842711.20345678,613506.73500664,5842712.50086792,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.691533635,5842711.20345678,613506.73500664,5842712.50086792,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.691533635,5842711.20345678,613506.73500664,5842712.50086792,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.691533635,5842711.20345678,613506.73500664,5842712.50086792,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.725369565,5842711.191809,613506.779595404,5842712.52045635,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.725369565,5842711.191809,613506.779595404,5842712.52045635,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.725369565,5842711.191809,613506.779595404,5842712.52045635,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.725369565,5842711.191809,613506.779595404,5842712.52045635,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.765297676,5842711.17806404,613506.824616962,5842712.52150747,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.765297676,5842711.17806404,613506.824616962,5842712.52150747,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.765297676,5842711.17806404,613506.824616962,5842712.52150747,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.765297676,5842711.17806404,613506.824616962,5842712.52150747,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.6,4
'101,'101,613513.821299998,5842711.15878565,613506.881326702,5842712.50428408,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.5,4
'101,'101,613513.821299998,5842711.15878565,613506.881326702,5842712.50428408,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.5,4
'101,'101,613513.821299998,5842711.15878565,613506.881326702,5842712.50428408,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.5,4
'101,'101,613513.821299998,5842711.15878565,613506.881326702,5842712.50428408,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.5,4
'101,'101,613513.871210137,5842711.14160445,613506.937603649,5842712.50559799,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.5,4
'101,'101,613513.871210137,5842711.14160445,613506.937603649,5842712.50559799,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.5,4
'101,'101,613513.871210137,5842711.14160445,613506.937603649,5842712.50559799,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.5,4
'101,'101,613513.871210137,5842711.14160445,613506.937603649,5842712.50559799,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.5,4
'101,'101,613513.937194487,5842711.11888981,613507.005568779,5842712.48863738,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.4,4
'101,'101,613513.937194487,5842711.11888981,613507.005568779,5842712.48863738,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.4,4
'101,'101,613513.937194487,5842711.11888981,613507.005568779,5842712.48863738,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,1,101,0,0,2.4,4
'101,'101,613513.987104626,5842711.10170861,613507.061845727,5842712.48995129,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,101,0,0,2.4,4
'101,'101,613513.987104626,5842711.10170861,613507.061845727,5842712.48995129,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,101,0,0,2.4,4
'101,'101,613513.987104626,5842711.10170861,613507.061845727,5842712.48995129,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,101,0,0,2.4,4
'101,'101,613513.987104626,5842711.10170861,613507.061845727,5842712.48995129,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,101,0,0,2.4,4
'101,'101,613514.037014765,5842711.08452741,613507.118122674,5842712.4912652,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,101,0,0,2.3,4
'101,'101,613514.037014765,5842711.08452741,613507.118122674,5842712.4912652,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,101,0,0,2.3,4
'101,'101,613514.037014765,5842711.08452741,613507.118122674,5842712.4912652,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,101,0,0,2.3,4
'101,'101,613514.037014765,5842711.08452741,613507.118122674,5842712.4912652,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,101,0,0,2.3,4
'102,'102,613514.086924903,5842711.06734621,613507.174399621,5842712.49257911,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.3,4
'102,'102,613514.086924903,5842711.06734621,613507.174399621,5842712.49257911,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.3,4
'102,'102,613514.086924903,5842711.06734621,613507.174399621,5842712.49257911,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.3,4
'102,'102,613514.086924903,5842711.06734621,613507.174399621,5842712.49257911,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.3,4
'102,'102,613514.146817069,5842711.04672876,613507.241931957,5842712.4941558,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.2,4
'102,'102,613514.146817069,5842711.04672876,613507.241931957,5842712.4941558,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.2,4
'102,'102,613514.146817069,5842711.04672876,613507.241931957,5842712.4941558,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.2,4
'102,'102,613514.146817069,5842711.04672876,613507.241931957,5842712.4941558,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.2,4
'102,'102,613514.202819391,5842711.02745037,613507.2986417,5842712.47693242,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.1,4
'102,'102,613514.202819391,5842711.02745037,613507.2986417,5842712.47693242,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.1,4
'102,'102,613514.202819391,5842711.02745037,613507.2986417,5842712.47693242,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.1,4
'102,'102,613514.202819391,5842711.02745037,613507.2986417,5842712.47693242,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.1,4
'102,'102,613514.252729529,5842711.01026917,613507.354918647,5842712.47824633,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.1,4
'102,'102,613514.252729529,5842711.01026917,613507.354918647,5842712.47824633,613506.743238,5842713.59535708,613509.922013046,5842712.50108686,0.9,102,0,0,2.1,4
